date,Event Name,Meeting Place,Person,Source PDF
2022-08-06,,,,AG Taylor Calendar - August 2022.pdf
2022-08-07,,,,AG Taylor Calendar - August 2022.pdf
2022-08-08,,,,AG Taylor Calendar - August 2022.pdf
2022-08-13,,,,AG Taylor Calendar - August 2022.pdf
2022-08-14,,,,AG Taylor Calendar - August 2022.pdf
2022-09-03,,,,AG Taylor Calendar - September 2022.pdf
2022-09-04,,,,AG Taylor Calendar - September 2022.pdf
2022-09-17,,,,AG Taylor Calendar - September 2022.pdf
2022-09-18,,,,AG Taylor Calendar - September 2022.pdf
2022-09-24,,,,AG Taylor Calendar - September 2022.pdf
2022-09-25,,,,AG Taylor Calendar - September 2022.pdf
2022-10-01,,,,AG Taylor Calendar - October 2022.pdf
2022-10-02,,,,AG Taylor Calendar - October 2022.pdf
2022-10-07,,,,AG Taylor Calendar - October 2022.pdf
2022-10-08,,,,AG Taylor Calendar - October 2022.pdf
2022-10-09,,,,AG Taylor Calendar - October 2022.pdf
2022-10-15,,,,AG Taylor Calendar - October 2022.pdf
2022-10-16,,,,AG Taylor Calendar - October 2022.pdf
2022-10-19,,,,AG Taylor Calendar - October 2022.pdf
2022-10-22,,,,AG Taylor Calendar - October 2022.pdf
2022-10-23,,,,AG Taylor Calendar - October 2022.pdf
2022-10-29,,,,AG Taylor Calendar - October 2022.pdf
2022-10-30,,,,AG Taylor Calendar - October 2022.pdf
2022-11-05,,,,AG Taylor Calendar - November 2022.pdf
2022-11-06,,,,AG Taylor Calendar - November 2022.pdf
2022-11-19,,,,AG Taylor Calendar - November 2022.pdf
2022-11-20,,,,AG Taylor Calendar - November 2022.pdf
2022-11-26,,,,AG Taylor Calendar - November 2022.pdf
2022-11-27,,,,AG Taylor Calendar - November 2022.pdf
2022-12-01,Meeting AG Taylor/Mike Baylous/Brewster Jamieson/Cori Mills re Litigation,"ANC AG's; Office, Brady Bldg, 6th Fl/Microsoft Teams Meeting","Dizon, Ninia R (LAW)",AG Taylor Calendar - December 2022.pdf
2022-12-01,Meet & Greet AG Taylor/Cameron King/Andrew Trejo,ANC 6th Fl Conf Room,"Dizon, Ninia R (LAW)",AG Taylor Calendar - December 2022.pdf
2022-12-01,4:30-5:00 PM: MTG: AG,ANC-WEST Cabinet Rm.,"Dunleavy, Governor (GOV sponsored)",AG Taylor Calendar - December 2022.pdf
2022-12-01,Statehood Defense Meeting,Microsoft Teams Meeting,"Mulligan, Benjamin J (DFG)",AG Taylor Calendar - December 2022.pdf
2022-12-02,Meeting re ESG,"ANC Atwood 15th; Fl, Insurance Conf Room/Microsoft Teams Meeting","Dizon, Ninia R (LAW)",AG Taylor Calendar - December 2022.pdf
